leilao_id,date,lote,target,car,fipe_min,fipe_max,start_value,total_target,discount,selled,total_tax,damaged,sinistro,link,fee
6711,04/09/2024,005,31966.208,RENAULT/KWID ZEN 10MT - 2019/2020,43352.0,43352.0,19000.0,33866.208,18%,24500.0,1900.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=5,1682.432
6711,04/09/2024,006,24867.960000000003,VW/FOX 1.0 GII - 2012/2013,34240.0,34240.0,13000.0,26767.960000000003,18%,16000.0,1900.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=6,1308.8400000000001
6711,04/09/2024,008,36644.103,FORD/ECOSPORT S 1.6 - 2012/2013,49357.0,49357.0,25000.0,38544.103,18%,30000.0,1900.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=8,1928.6370000000002
6711,04/09/2024,010,32507.613,FIAT/UNO ATTRACTIVE 1.0 - 2020/2020,44047.0,44047.0,16000.0,34407.613,18%,27500.0,1900.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=10,1710.9270000000001
6711,04/09/2024,014,29210.885000000002,GM/S10 ADVANTAGE D - 2006/2006,39815.0,39815.0,12000.0,31110.885000000002,18%,13500.0,1900.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=14,1537.415
6711,04/09/2024,015,35810.573000000004,FIAT/STRADA WORKING - 2015/2016,48287.0,48287.0,22000.0,37710.573000000004,18%,35000.0,1900.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=15,1884.7670000000003
6711,04/09/2024,017,29644.788,VW/CROSSFOX GII - 2011/2012,40372.0,40372.0,18000.0,31544.788,18%,18500.0,1900.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=17,1560.2520000000002
6711,04/09/2024,019,24377.190000000002,VW/FOX 1.6 PRIME GII - 2011/2012,33610.0,33610.0,11000.0,26277.190000000002,18%,13500.0,1900.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=19,1283.0100000000002
6711,04/09/2024,023,19274.74,RENAULT/SANDERO EXP1016V - 2012/2012,27060.0,27060.0,12000.0,21174.74,18%,15500.0,1900.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=23,1014.46
6711,04/09/2024,024,22531.739,CHEVROLET/CELTA 1.0L LT - 2013/2014,30660.0,31822.0,11000.0,24431.739,18%,21500.0,1900.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=24,1185.881
6711,04/09/2024,025,34025.105,FIAT/MOBI LIKE - 2019/2020,45995.0,45995.0,25000.0,35925.105,18%,25500.0,1900.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=25,1790.795
6711,04/09/2024,026,18291.642,I/CITROEN C4PIC EXC A 7L - 2008/2009,25798.0,25798.0,11000.0,20191.642,18%,11500.0,1900.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=26,962.718
6711,04/09/2024,027,23302.170000000002,VW/GOL CITY MB - 2014/2015,32230.0,32230.0,14000.0,25202.170000000002,18%,16500.0,1900.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=27,1226.43
6711,04/09/2024,036,34703.614,CHEVROLET/ONIX 10MT JOYE - 2017/2018,46866.0,46866.0,19000.0,36603.614,18%,23500.0,1900.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=36,1826.5060000000003
6711,04/09/2024,037,28439.675000000003,RENAULT/KWID ZEN 10MT - 2017/2018,38825.0,38825.0,20000.0,30339.675000000003,18%,21500.0,1900.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=37,1496.825
6711,04/09/2024,038,18387.0695,VW/NOVO GOL 1.0 - 2013/2013,22537.0,29304.0,14000.0,20287.0695,18%,18000.0,1900.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=38,967.7405
6711,04/09/2024,041,27921.64,I/NISSAN VERSA 16SL FLEX - 2013/2014,38160.0,38160.0,15000.0,29821.64,18%,15500.0,1900.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=41,1469.5600000000002
6711,04/09/2024,042,27123.944000000003,VW/UP TAKE MA - 2015/2016,37136.0,37136.0,13000.0,29023.944000000003,18%,19500.0,1900.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=42,1427.5760000000002
6711,04/09/2024,044,28973.29,VW/UP TAKE MCV - 2016/2017,39510.0,39510.0,21000.0,30873.29,18%,22000.0,1900.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=44,1524.91
6711,04/09/2024,048,23727.789000000004,I/FIAT SIENA EL 1.4 FLEX - 2014/2015,33691.0,33691.0,14000.0,26377.789000000004,18%,15000.0,2650.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=48,1248.8310000000001
6711,04/09/2024,049,28497.606000000003,HYUNDAI/HB20 1.0M COMFOR - 2014/2015,39814.0,39814.0,17000.0,31147.606000000003,18%,21500.0,2650.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=49,1499.874
6711,04/09/2024,051,21167.995000000003,I/NISSAN VERSA 16SV FLEX - 2011/2012,30405.0,30405.0,11000.0,23817.995000000003,18%,11000.0,2650.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=51,1114.105
6711,04/09/2024,053,33704.442,FIAT/STRADA ADVENTURE CD - 2011/2012,46498.0,46498.0,20000.0,36354.442,18%,30000.0,2650.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=53,1773.918
6711,04/09/2024,060,21942.188000000002,CITROEN/C3 AIRCROSS GLXM - 2011/2011,30972.0,30972.0,14000.0,24242.188000000002,18%,0.0,2300.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=60,1154.852
6711,04/09/2024,062,26630.210000000003,CITROEN/C3 120A EXCLUSIV - 2012/2013,36840.0,36840.0,16000.0,28807.210000000003,18%,0.0,2177.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=62,1401.5900000000001
6711,04/09/2024,063,24404.341000000004,FIAT/PALIO WK ADVEN DUAL - 2010/2011,34679.0,34679.0,13000.0,27152.341000000004,18%,14000.0,2748.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=63,1284.439
6711,04/09/2024,074,20735.536,FIAT/PUNTO HLX 1.8 - 2010/2010,28984.0,28984.0,13000.0,22675.536,18%,15000.0,1940.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=74,1091.344
6711,04/09/2024,077,30071.851000000002,VW/CROSSFOX GII - 2013/2014,40969.0,40969.0,21000.0,32011.851000000002,18%,26000.0,1940.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=77,1582.7290000000003
6711,04/09/2024,078,22938.548000000003,I/CHEVROLET AGILE LTZ - 2012/2012,31812.0,31812.0,11000.0,24878.548000000003,18%,11500.0,1940.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=78,1207.2920000000001
6711,04/09/2024,083,28998.389000000003,FORD/KA SE 1.5 SD - 2015/2016,39591.0,39591.0,16000.0,30938.389000000003,18%,16000.0,1940.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=83,1526.2310000000002
6711,04/09/2024,084,22921.410000000003,VW/NOVO GOL 1.0 CITY - 2013/2014,31790.0,31790.0,16000.0,24861.410000000003,18%,0.0,1940.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=84,1206.39
6711,04/09/2024,086,27456.748000000003,FORD/ECOSPORT XLT2.0FLEX - 2010/2011,37612.0,37612.0,13500.0,29396.748000000003,18%,15000.0,1940.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=86,1445.092
6711,04/09/2024,087,35277.907999999996,VW/GOL 1.0L MC4 - 2019/2020,47652.0,47652.0,19000.0,37217.907999999996,18%,0.0,1940.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=87,1856.732
6711,04/09/2024,093,41305.810000000005,I/FORD FOCUS SE AT 2.0SC - 2016/2017,55390.0,55390.0,23000.0,43245.810000000005,18%,25000.0,1940.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=93,2173.99
6711,04/09/2024,094,28143.047000000002,FIAT/STRADA ADVENT FLEX - 2009/2009,38493.0,38493.0,15000.0,30083.047000000002,18%,15500.0,1940.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=94,1481.2130000000002
6711,04/09/2024,103,19789.070000000003,FIAT/SIENA ESSENCE 1.6 - 2011/2012,28330.0,28330.0,14000.0,22189.070000000003,18%,14000.0,2400.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=103,1041.53
6711,04/09/2024,104,33791.671,FORD/KA SE 1.0 HA C - 2019/2019,46549.0,46549.0,19000.0,36391.671,18%,20000.0,2600.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=104,1778.509
6711,04/09/2024,107,22384.698000000004,TOYOTA/COROLLA XEI18VVT - 2005/2006,31662.0,31662.0,12000.0,24784.698000000004,18%,13000.0,2400.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=107,1178.142
6711,04/09/2024,116,25079.544,I/FORD FIESTA SD 1.6LSE - 2014/2015,35536.0,35536.0,17000.0,27819.544,18%,0.0,2740.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=116,1319.976
6711,04/09/2024,118,20669.786500000002,FORD/ECOSPORT XLT - 2008/2008,26021.0,33266.0,13000.0,23219.786500000002,18%,0.0,2550.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=118,1087.8835000000001
6711,04/09/2024,119,27968.570000000003,I/KIA SOUL EX 1.6 FF MT - 2011/2012,38830.0,38830.0,18000.0,30368.570000000003,18%,21000.0,2400.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=119,1472.03
6711,04/09/2024,125,24626.660000000003,I/CHEVROLET AGILE LTZ - 2012/2013,34540.0,34540.0,14000.0,27026.660000000003,18%,15500.0,2400.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=125,1296.14
6711,04/09/2024,128,23407.525000000005,VW/NOVO GOL 1.0 CITY - 2014/2014,32975.0,32975.0,11000.0,25807.525000000005,18%,18000.0,2400.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=128,1231.9750000000001
6711,04/09/2024,134,26265.676000000003,RENAULT/SANDERO EXPR 16 - 2015/2016,36644.0,36644.0,16000.0,28665.676000000003,18%,16500.0,2400.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=134,1382.4040000000002
6711,04/09/2024,137,28372.092000000004,VW/FOX 1.0 SELECAO - 2013/2014,39348.0,39348.0,13000.0,30772.092000000004,18%,13500.0,2400.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=137,1493.2680000000003
6711,04/09/2024,138,25323.086,RENAULT/DUSTER 20 D 4X2 - 2013/2014,35434.0,35434.0,20000.0,27723.086,18%,25500.0,2400.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=138,1332.794
6711,04/09/2024,140,33798.606,VW/NOVO FOX HL SD - 2015/2015,46314.0,46314.0,22000.0,36198.606,18%,24000.0,2400.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=140,1778.8740000000003
6711,04/09/2024,148,26976.105000000003,VW/FOX 1.6 BLUEM GII - 2012/2013,36995.0,36995.0,17000.0,28916.105000000003,18%,18500.0,1940.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=148,1419.795
6711,04/09/2024,155,29517.982000000004,VW/GOL TL MC - 2016/2016,40258.0,40258.0,16500.0,31457.982000000004,18%,17000.0,1940.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=155,1553.5780000000002
6711,04/09/2024,162,22921.410000000003,VW/NOVO GOL 1.0 CITY - 2013/2014,31790.0,31790.0,15000.0,24861.410000000003,18%,17500.0,1940.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=162,1206.39
6711,04/09/2024,163,29476.695000000007,VW/VOYAGE TL MB S - 2015/2015,40205.0,40205.0,17000.0,31416.695000000007,18%,17000.0,1940.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=163,1551.4050000000002
6711,04/09/2024,165,35371.388,RENAULT/SANDERO AUTH 10 - 2019/2020,47772.0,47772.0,13000.0,37311.388,18%,14000.0,1940.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=165,1861.652
6711,04/09/2024,167,24829.960000000003,VW/FOX 1.0 GII - 2012/2013,34240.0,34240.0,13000.0,26769.960000000003,18%,0.0,1940.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=167,1306.8400000000001
6711,04/09/2024,168,38492.84100000001,TOYOTA/COROLLA SEG18FLEX - 2009/2010,51779.0,51779.0,16000.0,40432.84100000001,18%,16000.0,1940.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=168,2025.9390000000003
6711,04/09/2024,169,37397.567,VW/GOL 1.0L MC4 - 2020/2021,50373.0,50373.0,17000.0,39337.567,18%,18000.0,1940.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=169,1968.293
6711,04/09/2024,172,22762.494,VW/POLO 1.6 - 2010/2010,31586.0,31586.0,12000.0,24702.494,18%,15500.0,1940.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=172,1198.026
6711,04/09/2024,175,36322.471,I/MMC LANCER 2.0 - 2012/2013,49249.0,49249.0,24000.0,38472.471,18%,26000.0,2150.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=175,1911.7089999999998
6711,04/09/2024,176,34409.247,VW/NOVO GOL TRACK MCV - 2017/2018,46793.0,46793.0,25000.0,36559.247,18%,29000.0,2150.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=176,1811.0130000000001
6711,04/09/2024,179,32270.113,FIAT/UNO ATTRACTIVE 1.0 - 2019/2020,44047.0,44047.0,17000.0,34420.113,18%,18000.0,2150.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=179,1698.4270000000001
6711,04/09/2024,181,26753.235000000004,RENAULT/LOGAN AUTH 10 - 2017/2018,36965.0,36965.0,12000.0,28903.235000000004,18%,17000.0,2150.0,False,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=181,1408.0650000000003
6711,04/09/2024,195,22418.784,I/VW BORA - 2008/2008,31096.0,31096.0,11000.0,24318.784,18%,11000.0,1900.0,True,False,https://www.freitasleiloeiro.com.br/Leiloes/LoteDetalhes?leilaoId=6711&loteNumero=195,1179.936
